gene,log2fold,raw_p_value,bh
544988,-0.04148245614035151,0.0032274642277154405,0.008824402881563565
100043387,-0.10471052631578992,0.11550548605190956,0.18242624291010442
0610007C21Rik,-0.009000000000002117,0.47026072653518536,0.5679889933718493
0610007L01Rik,0.010907894736842394,0.9420257821845177,0.9597861108595631
0610007P08Rik,-0.06815789473684397,0.03678087938101232,0.06983695451967477
0610007P14Rik,-0.14913157894736706,0.022889877260814213,0.04687889049743349
0610007P22Rik,-0.03690789473684397,0.30863013390750604,0.40525220842326026
0610008F07Rik,0.21799999999999997,0.0026334291815288996,0.00743967724741114
0610009B14Rik,0.04913157894736653,0.07229056821503828,0.12303582901086159
0610009B22Rik,-0.05263157894736992,0.022895472454596638,0.04687889049743349
0610009D07Rik,0.061157894736840746,0.1818869476897974,0.2647401633776944
0610009L18Rik,-0.024868421052628875,0.6588189532891849,0.7382933403016285
0610009O20Rik,-0.11210526315789693,2.047623276187958e-05,0.00011430559340850316
0610010F05Rik,0.05876315789473452,0.2509719500625296,0.34352507166467294
0610010K06Rik,-0.12411842105263027,0.0006188914760264162,0.0021467602700356797
0610010K14Rik,-0.2016578947368437,7.92022995873205e-06,5.0840672581938766e-05
0610010O12Rik,0.059499999999999886,0.19584713977767343,0.2815617439998841
0610011F06Rik,0.043736842105266405,0.2822513187969473,0.3771501981656888
0610011L14Rik,-0.052368421052632286,0.019143827119297373,0.04034326225241814
0610012G03Rik,-0.07376315789474042,0.00806667722521651,0.019428000772567164
0610012H03Rik,-0.4157631578947374,8.782830106847517e-08,1.1221363100234963e-06
0610025J13Rik,-0.04744736842105102,0.2068479959130719,0.2941241675591999
0610030E20Rik,0.014368421052633806,0.5926319275391849,0.6809213097634572
0610031J06Rik,-0.05994736842105475,0.024828952598211964,0.050110703740433096
0610037D15Rik,0.010447368421052872,0.5890272510745207,0.6776887526577177
0610037L13Rik,-0.12423684210526353,7.882225900784428e-05,0.0003667111469623806
0610037P05Rik,-0.09163157894736607,0.0018608331621074573,0.005520737980757933
0610040B10Rik,-0.0822368421052655,0.03151278861028699,0.06137690177159419
0610040J01Rik,0.11610526315789471,3.3946190433139645e-05,0.00017604228243550161
0910001L09Rik,-0.07615789473684131,0.01341413806795245,0.03002349666770904
1100001E04Rik,0.3020000000000005,8.058857275202901e-08,1.0449236852972408e-06
1100001G20Rik,-0.14618421052631625,0.015494094546973765,0.033831051834238304
1110001A16Rik,-0.0958684210526286,0.035392109664244664,0.06765564034553757
1110002B05Rik,0.0681578947368422,0.173515092053114,0.25464727263326215
1110002N22Rik,0.06444736842105314,0.037729184272329346,0.07142383104521266
1110003E01Rik,-0.18913157894736798,1.507533540626894e-07,1.7755390777945681e-06
1110003O08Rik,0.008736842105264486,0.6513256911083016,0.7319552668971978
1110004E09Rik,0.13536842105263247,0.0046408170272324535,0.012085673282136113
1110004F10Rik,0.05292105263157865,0.15314897817676673,0.23000787928915453
1110005A03Rik,-0.028026315789471568,0.9337616124102922,0.9535912316806381
1110006G14Rik,-0.21239473684210353,0.0001290491589833661,0.0005594179841972998
1110006O24Rik,0.03813157894736641,0.43588312853059097,0.535082257348932
1110007A13Rik,0.029657894736841328,0.19767016742349197,0.2834939254983695
1110007C09Rik,-0.12194736842105236,8.413163154765327e-05,0.00038810491041901856
1110007L15Rik,-0.1294736842105273,0.0011676290649002081,0.0037009736685640654
1110008E08Rik,-0.14123684210526033,0.004277013677201777,0.011268649084992326
1110008F13Rik,-0.012868421052630197,0.38567522379284047,0.48524933207408155
1110008J03Rik,0.16431578947368486,1.8671919795821652e-05,0.00010573168276498075
1110008L16Rik,0.07215789473684175,0.014003168879845516,0.031106080022355435
1110008P14Rik,-0.1399999999999988,0.0064908155387485185,0.01614109287111247
1110012D08Rik,-0.04944736842105435,0.11792475339933861,0.1855932515343157
1110012J17Rik,0.08250000000000224,0.07228666947603883,0.12303582901086159
1110012L19Rik,-0.09857894736841999,0.19053891359002528,0.2753419707636136
1110014N23Rik,-0.040342105263158956,0.017113596869073194,0.03676586718340857
1110015M06Rik,0.05313157894736875,0.08743338520505183,0.1446211447928733
1110017D15Rik,0.04618421052631305,0.17024917873087608,0.2507394661750343
1110017F19Rik,0.16652631578947563,0.000395913925538734,0.00145827197245319
1110018G07Rik,-0.07618421052631241,0.05796115637267854,0.10210806173931421
1110018H23Rik,-0.03450000000000042,0.18188097423630545,0.2647401633776944
1110018J18Rik,0.06500000000000128,0.13194757207536548,0.20357023732288793
1110020C03Rik,-0.016105263157892402,0.6106950033196763,0.6971093479387991
1110020C17Rik,0.2869210526315795,8.691839182827321e-07,7.819255216369188e-06
1110020G09Rik,-0.0021315789473685953,0.8802544941850177,0.9144353452004449
1110020P15Rik,0.019973684210523146,0.3185812544102392,0.41625079544656723
1110021J02Rik,0.13913157894737083,0.0037496428304988998,0.010046456944605955
1110021L09Rik,-0.03718421052631449,0.40006307095601934,0.49977619711746085
1110028C15Rik,0.26489473684210374,7.923621230001786e-06,5.0840672581938766e-05
1110030E23Rik,0.15557894736842037,0.00035890017483343397,0.0013423607470124932
1110032A03Rik,-0.21610526315789436,0.00031850836349696214,0.0012153220736682729
1110032A04Rik,0.053131578947366975,0.25311628648437945,0.34579699255647667
1110032A13Rik,0.170447368421053,1.7181151369556816e-06,1.4000429513134006e-05
1110032E23Rik,0.09336842105263266,0.01835636513879293,0.03898441174356774
1110032F04Rik,0.031092105263159198,0.26186408813777273,0.3553416421905579
1110034A24Rik,0.14672368421052617,6.311906441349741e-07,5.9441454791146915e-06
1110034B05Rik,0.07947368421052303,0.06905470275464788,0.11838352077592723
1110034G24Rik,0.07018421052631396,0.01361034309041437,0.030379992079810923
1110036O03Rik,0.10184210526315773,0.016871253904944022,0.03632709634166706
1110037F02Rik,0.07795614035087794,0.018104982829618425,0.0385300431202397
